Sample,Name,Conc,Ret.time,Ret.index,Type,m/z,Area,Height,Unit,Group,Date.anal,Notes
LAAN_14F1207_0194_5252020_14,c20.3n6,0.0472,34.199,0,Target,79,6676,1136,ng/ul,bsides,2021-04-28,
LAAN_14F1207_0194_5252020_14,c20.4n6,1.4641,34.731,0,Target,79,229128,39519,ng/ul,bsides,2021-04-28,
LAAN_14F1207_0194_5252020_14,c20.3n3,0.1609,35.586,0,Target,79,28642,4651,ng/ul,bsides,2021-04-28,
LAAN_14F1207_0194_5252020_14,c20.4n3,Ratio of reference ion does not match.,0,0,Target,79,0,0,ng/ul,bsides,2021-04-28,
LAAN_14F1207_0194_5252020_14,c20.5n3,5.4809,37.162,0,Target,79,872771,151759,ng/ul,bsides,2021-04-28,
LAAN_14F1207_0194_5252020_14,c22.0,0.0042,38.513,0,Target,74,1257,291,ng/ul,bsides,2021-04-28,
LAAN_14F1207_0194_5252020_14,c22.1,No peak is identified.,0,0,Target,55,0,0,ng/ul,bsides,2021-04-28,
LAAN_14F1207_0194_5252020_14,c22.1n9c,Ratio of reference ion does not match.,0,0,Target,55,0,0,ng/ul,bsides,2021-04-28,
LAAN_14F1207_0194_5252020_14,c22.1n7c,Ratio of reference ion does not match.,0,0,Target,55,0,0,ng/ul,bsides,2021-04-28,
LAAN_14F1207_0194_5252020_14,c22.1A,No peak is identified.,0,0,Target,55,0,0,ng/ul,bsides,2021-04-28,
LAAN_14F1207_0194_5252020_14,c21.5n3,Ratio of reference ion does not match.,0,0,Target,79,0,0,ng/ul,bsides,2021-04-28,
LAAN_14F1207_0194_5252020_14,c22.2n6,No peak is identified.,0,0,Target,67,0,0,ng/ul,bsides,2021-04-28,
LAAN_14F1207_0194_5252020_14,c23.0,Ratio of reference ion does not match.,0,0,Target,74,0,0,ng/ul,bsides,2021-04-28,
LAAN_14F1207_0194_5252020_14,c22.PUFA,No peak is identified.,0,0,Target,79,0,0,ng/ul,bsides,2021-04-28,
LAAN_14F1207_0194_5252020_14,c22.3n6,0.025,43.574,0,Target,79,3902,554,ng/ul,bsides,2021-04-28,
LAAN_14F1207_0194_5252020_14,c22.4n6,Ratio of reference ion does not match.,0,0,Target,79,0,0,ng/ul,bsides,2021-04-28,
