Sample,C12:0,C14:0,C14:1w5,C15:0,C16:0,C16:1w7c,C16:2w6,C16:2w6,C17:0,C16:3n4,C16:4w1,C18:0,C18:1w9c,C18:1w7c,C18:1n,C18:2w6c,C18:3w6,C19:0,C18:3w3,C18:4w3,C18:5w3,C20:0,C20:4w6,C20:4w3,C20:5w3,C22:0,C22:5w3,C22:6w3
PLCA_08F0619_0115_3232020_15.qgd,210425,1717574,-----,113651,8926951,378099,-----,50896,53389,111760,88814,778679,72638,59839,-----,61888,31741,10913128,36617,120079,0,80288,2372583,43742,6752688,113757,32120,522348
PLCA_09F0735_0116_3232020_19.qgd,350312,2514717,-----,148343,11978321,842474,27159,156742,44513,228339,369175,522499,196951,104244,-----,281207,96911,12065965,420524,556655,0,112619,3391151,39272,10038783,222754,11113,63708
PLCA_10F0855_0078_3232020_11.qgd,303674,1826921,-----,98875,9619633,143247,5153,27709,35915,38413,65743,468809,81854,70629,-----,103917,33728,11674169,106912,151994,0,127887,2038099,25920,6385819,184943,6461,13966
PLCA_10F0864_0117_3232020_16.qgd,369363,2048376,-----,102912,9937039,185360,5241,23719,36858,37081,61671,506263,86984,86575,-----,90867,46318,10948642,40218,96513,0,119124,2397430,28022,7759572,101739,9791,17857
PLCA_11F0961_0079_3232020_23.qgd,521574,2671143,-----,132917,12588025,105304,2094,12489,49066,24720,21701,787791,53069,65058,-----,61083,51538,11601732,13928,12687,0,97596,2544619,49305,9333162,180698,10355,6184
PLCA_12F1093_0080_3232020_22.qgd,482372,2526379,-----,148012,12173298,167082,3971,25874,63574,47446,56215,937965,71534,154856,-----,66254,27498,11046780,27584,35593,0,120566,2863056,47248,9171656,230760,29902,168499
BEDI_08F0576_0180_5222020_12.qgd,14209,996420,-----,43574,2612385,981953,31434,327327,-----,1565464,51749,256428,23672,61328,1227,17074,741,6943040,65358,13839,1464104,9772,213397,385,833583,-----,8327,254951
BEDI_09F0817_0181_5222020_13.qgd,6528,1250031,-----,41119,3116692,1454596,37649,539943,-----,2910394,5214,102274,11287,8647,-----,15285,-----,6096371,56301,6318,2228313,3492,75767,-----,534018,-----,1218,269169
BEDI_13F1228_0182_5222020_19.qgd,6036,1016152,-----,35585,2606894,1326863,41446,438514,-----,2084128,9335,126473,15631,14209,-----,13355,-----,5399734,55183,14990,1761247,4582,123236,-----,460237,-----,1682,188545
BEDI_14F1216_0179_5222020_20.qgd,6486,543112,-----,24233,1743913,781667,20143,252105,-----,1130226,2240,118279,18363,12860,-----,9316,-----,5747090,68206,4674,1051976,3314,64407,-----,285534,-----,1356,102403
CAAT_14F1385_0200_5222020_15.qgd,15257,342584,-----,90417,4734038,51643,-----,3444,41807,2858,895,167549,150041,21159,-----,145820,6195,5824818,6652,-----,0,3666,4288753,-----,707289,1071,-----,4933
HIGR_13F1234_0126_5222020_7.qgd,6912,1965934,33978,141782,6304157,434357,21823,45431,52826,23668,74399,603752,1185645,14545,18469,794413,67108,8454611,2060877,3376862,0,344353,3695645,228150,3426034,7902,807033,11794
HIGR_14F1211_0127_5222020_25.qgd,4270,1097187,16225,73443,4500266,302412,23856,15178,29122,11181,29355,297190,898217,9285,15496,270730,42341,6655655,953429,1609599,0,454180,2203012,124552,1750478,8545,600380,-----
HIGR_15F1398_0128_5222020_26.qgd,6237,1647181,62118,102149,5465480,363255,15978,33463,25544,17335,71789,357467,957865,14563,18202,652101,41215,7801592,1347320,1798430,0,465491,2612616,119661,1945763,9349,954161,18287
HIGR_15F1449_0141_5222020_27.qgd,4623,948999,9903,74263,4450777,394639,24650,24210,26365,11376,31689,263185,1221118,7227,14234,418666,48162,6526730,865779,1560339,0,239757,2323409,75960,1409802,3745,491731,-----
MYMA_07F0473_0164_5222020_21.qgd,6023,240293,-----,34869,3442490,82236,1828,5673,13956,7835,5528,218175,52154,502582,-----,74338,22144,7199022,4157,6269,0,3440,145033,4504,1827478,4693,2039,2512
MYMA_11F0983_0161_5222020_22.qgd,6190,298802,-----,40757,3971889,78398,1066,1499,10371,2375,-----,197288,66077,616455,-----,108807,27205,7467854,13297,8283,0,3958,188158,2236,1732479,8979,3061,-----
MYMA_14F1218_0162_5222020_10.qgd,6217,270474,-----,31114,3562676,69550,876,1870,11726,4260,-----,288621,58632,518230,-----,97066,20357,7176013,5614,4047,0,4852,143640,3076,1006720,6147,1560,-----
MYMA_15F1413_0163_5222020_11.qgd,5984,306135,-----,49617,4748609,97505,2187,1291,19231,3328,-----,237978,71694,903543,-----,118963,36298,6807516,3141,6320,0,4525,248893,2883,3353775,6285,2887,-----
PHAN_02F0096_0144_5222020_9.qgd,9524,445497,-----,83711,4364280,678289,10814,86978,17095,152803,162886,326763,182352,90729,-----,135684,17174,5763703,144320,257985,0,7849,1302039,5150,2354070,-----,14232,65979
